app_id:VARCHAR,type_code:VARCHAR,num:VARCHAR
1dff63b6678543d8999fa99c0532d879,11100000000013338W014,1
1dff63b6678543d8999fa99c0532d879,11100000000013338W050,1
1dff63b6678543d8999fa99c0532d879,11100000000013338W064,1
1dff63b6678543d8999fa99c0532d879,11100000000013338W121,1
ae894f53f9a9452887283ea69dc38405,11100000MB0341032Y045,1
e693ac70175143d89024a0db62c1a5fd,11100000000013338W055,1
e693ac70175143d89024a0db62c1a5fd,11100000MB058603XT002,1
e693ac70175143d89024a0db62c1a5fd,11371500MB2862819G004,1
f1b42add427049a4bf412e420037c984,111000000000132664018,1
f1b42add427049a4bf412e420037c984,111000000000132664022,1
f1b42add427049a4bf412e420037c984,111000000000132664101,1
f1b42add427049a4bf412e420037c984,11100000000013573W014,1
f1b42add427049a4bf412e420037c984,11100000717823004M121,1
f1b42add427049a4bf412e420037c984,11100000MB058603XT003,1
f1b42add427049a4bf412e420037c984,null,1
302a95814e9d4cc391f989f8002e4110,111000000000131433002,2
42e8d128ea514f0d8bf818106fc68368,null,2
8e452f32341541dc8241ffee7fc66f98,113700000045030270061,2
8e452f32341541dc8241ffee7fc66f98,null,2
9360a62fc7f8447db5cd7a439da3e59d,11100000000019713D008,2
95c38f0783a74cdda05d35b9065b3518,11100000MB0143028R053,2
e693ac70175143d89024a0db62c1a5fd,111000007178369727015,2
f1b42add427049a4bf412e420037c984,111000000000132664092,2
1e146c421c2c4aa9b9f73f3f2f426af5,11100000000013338W009,3
e693ac70175143d89024a0db62c1a5fd,11100000000013338W054,3
1dff63b6678543d8999fa99c0532d879,11100000717823004M007,4
e693ac70175143d89024a0db62c1a5fd,11100000000013338W017,4
9360a62fc7f8447db5cd7a439da3e59d,null,6
f1b42add427049a4bf412e420037c984,11100000000013338W050,6
f1b42add427049a4bf412e420037c984,111000007178369727035,6
35a23038ac57402a82de65beca4046cf,111000000000185265001,8
68fd049733d849339c69638689dbdb34,11100000MB0372496N008,8
8e452f32341541dc8241ffee7fc66f98,113700000045030270062,8
92057266e2bd44079fde2b1d9d17f33a,111000000000136028002,8
f1b42add427049a4bf412e420037c984,111000007178369727033,8
e693ac70175143d89024a0db62c1a5fd,11100000000013338W057,9
e693ac70175143d89024a0db62c1a5fd,111000007178369727013,9
95c38f0783a74cdda05d35b9065b3518,11100000MB0143028R026,10
f1b42add427049a4bf412e420037c984,111000000000132664037,10
f1b42add427049a4bf412e420037c984,111000000000132664057,10
f1b42add427049a4bf412e420037c984,111000000000132664064,10
f1b42add427049a4bf412e420037c984,111000000000132664095,10
f1b42add427049a4bf412e420037c984,111000007178369727044,10
f1b42add427049a4bf412e420037c984,111000000000136028011,11
f1b42add427049a4bf412e420037c984,11100000717823004M054,11
e693ac70175143d89024a0db62c1a5fd,11100000000013338W061,12
f1b42add427049a4bf412e420037c984,111000000000132664096,12
03932e4dd03944abbbf4f0942066cd08,11100000717823004M006,20
beacabf0af6543b29e77b87ae8b61f41,11100000000013338W009,22
f1b42add427049a4bf412e420037c984,111000007178369727003,22
9360a62fc7f8447db5cd7a439da3e59d,11100000000019713D013,26
0c865bf24b9a4afe95678d7a9442d5f2,11370000004504927A002,28
1dff63b6678543d8999fa99c0532d879,11100000000013127D039,28
8e452f32341541dc8241ffee7fc66f98,11100000000013338W001,28
f6cbb1d54fe2422bad47699fe7006a94,121000000000180592001,28
f1b42add427049a4bf412e420037c984,11100000000013338W020,30
42e8d128ea514f0d8bf818106fc68368,11100000000013223N036,33
95c38f0783a74cdda05d35b9065b3518,11100000MB0143028R001,34
e693ac70175143d89024a0db62c1a5fd,11370000MB28559184998,36
beacabf0af6543b29e77b87ae8b61f41,11100000000013338W050,40
9360a62fc7f8447db5cd7a439da3e59d,11100000000019713D071,41
4892cdbbd00f4d25a321e237a8568377,11100000MB03271699022,47
e693ac70175143d89024a0db62c1a5fd,11371500MB2862819G002,57
68fd049733d849339c69638689dbdb34,11100000000013338W017,62
68fd049733d849339c69638689dbdb34,11100000MB0143028R055,63
f1b42add427049a4bf412e420037c984,11100000MB058603XT008,63
68fd049733d849339c69638689dbdb34,11100000000013661B019,67
302a95814e9d4cc391f989f8002e4110,111000000000131433001,72
68fd049733d849339c69638689dbdb34,11100000717823004M121,103
e8a3acf5fbf44b599bcdd639aa0c6e77,111000007178369727100,132
e8a3acf5fbf44b599bcdd639aa0c6e77,null,132
8e452f32341541dc8241ffee7fc66f98,11100000000013338W011,188
8e452f32341541dc8241ffee7fc66f98,11100000000013338W032,221
68fd049733d849339c69638689dbdb34,11100000000013338W024,287
e693ac70175143d89024a0db62c1a5fd,11100000000013127DLS1,300
f1b42add427049a4bf412e420037c984,111000007178369727004,316
302a95814e9d4cc391f989f8002e4110,113700000000000033001,442
68fd049733d849339c69638689dbdb34,111000007178369727005,451
68fd049733d849339c69638689dbdb34,11100000000013338W039,579
68fd049733d849339c69638689dbdb34,11100000MB0372496N004,597
95c38f0783a74cdda05d35b9065b3518,11100000MB0143028R025,610
beacabf0af6543b29e77b87ae8b61f41,11100000000013338W033,925
f1b42add427049a4bf412e420037c984,11100000000013338W078,1304
beacabf0af6543b29e77b87ae8b61f41,11100000000013338W008,2035
03932e4dd03944abbbf4f0942066cd08,11100000717823004M001,2088
68fd049733d849339c69638689dbdb34,11100000000013338W055,2101
68fd049733d849339c69638689dbdb34,111000000000131433008,2158
68fd049733d849339c69638689dbdb34,111000000000131433004,4175
68fd049733d849339c69638689dbdb34,111000007178369727013,8202
95c38f0783a74cdda05d35b9065b3518,null,9580
a2dda60d66f247039ab0abf7b6c8a34d,111000007178369727025,13050
4892cdbbd00f4d25a321e237a8568377,11100000MB03271699001,24499
300cddaf80b9467d8dc11e8098ceaba0,11100000MB1698084H001,50112
1e146c421c2c4aa9b9f73f3f2f426af5,111000000000132664067,300380